Date,strat_return
1975-03-07,-0.003066412302504012
1975-03-10,-0.005414897917748421
1975-03-11,-0.004103683826683047
1975-03-12,0.003192771257234306
1975-03-13,0.0019658604878685817
1975-03-14,-0.004954223114536347
1975-03-17,-0.0011265761720467488
1975-03-18,0.00281871276224915
1975-03-19,0.008333112812417345
1975-03-20,0.004603482829386711
1975-03-21,0.00016475620392203213
1975-03-24,0.0060475045445835185
1975-03-25,0.0008688696276146516
1975-03-26,-0.005006489318482245
1975-03-27,-0.004847330411550365
1975-03-31,0.0018184423361062845
1975-04-01,0.004527720259899467
1975-04-02,0.002404904523136287
1975-04-03,0.005000312838937407
1975-04-04,0.0021456474569599175
1975-04-07,0.000825653448322531
1975-04-08,-0.0008463671728605988
1975-04-09,-0.0021220396811832383
1975-04-10,0.004447294465904032
1975-04-11,-0.0034923331270397323
1975-04-14,-0.006326352634473696
1975-04-15,0.002405166450981526
1975-04-16,0.002081589150578958
1975-04-17,-0.0012472154659136751
1975-04-18,0.002587904979100543
1975-04-21,-0.0061370005341466706
1975-04-22,-0.0017099843928649033
1975-04-23,0.003652113235484661
1975-04-24,-0.0034725722252056646
1975-04-25,-0.002576051505734112
1975-04-28,-0.004936457009574641
1975-04-29,0.001772779229911257
1975-04-30,-0.0034666103719813574
1975-05-01,-0.0025143421784824104
1975-05-02,-0.0036198305911492954
1975-05-05,-0.006098160084655043
1975-05-06,0.004861340355076054
1975-05-07,-0.001068004863745606
1975-05-08,-0.0025511156401896965
1975-05-09,-0.005239370391433122
1975-05-12,7.11479729705588e-05
1975-05-13,-0.007341522339308775
1975-05-14,-0.001670537033348781
1975-05-15,0.007834939638894348
1975-05-16,0.005519521281256591
1975-05-19,-0.0027682111022352377
1975-05-20,0.0020506578908337943
1975-05-21,0.0018873113969856419
1975-05-22,-0.0037956332822271974
1975-05-23,-0.010427313569900109
1975-05-27,0.0009030401922142294
1975-05-28,0.004882042628184435
1975-05-29,0.000505532094266748
1975-05-30,-0.003092369596532661
1975-06-02,0.0009267744980408167
1975-06-03,-0.0014313849569668642
1975-06-04,0.0017495750083151632
1975-06-05,-0.003860349672895868
1975-06-06,-0.001192150155077801
1975-06-09,0.0050606250304357
1975-06-10,0.003657712367178152
1975-06-11,0.0024655708429576345
1975-06-12,0.0014617274967134721
1975-06-13,-0.00026318592154254814
1975-06-16,-0.0028056268329308557
1975-06-17,-0.0013083322834401504
1975-06-18,0.0018873047133210205
1975-06-19,-0.009707268064146048
1975-06-20,-0.004869708804974309
1975-06-23,-0.005058801146215159
1975-06-24,-0.0015677765579815985
1975-06-25,-0.00024231700242720983
1975-06-26,-0.0007609292555359193
1975-06-27,0.0015152331861549334
1975-06-30,-0.0031678480332272105
1975-07-01,0.0034109426160896647
1975-07-02,0.0014038030089812419
1975-07-03,-0.001150659637464654
1975-07-07,7.957532658722183e-05
1975-07-08,-0.0012414202085608158
1975-07-09,-0.0038681414193417994
1975-07-10,-0.0011461651311062506
1975-07-11,-0.00572689648132867
1975-07-14,0.00020322613394352753
1975-07-15,-0.0013356393404477327
1975-07-16,0.004640459634110224
1975-07-17,0.0034543834912186995
1975-07-18,0.0013196710588780378
1975-07-21,0.002413687520601602
1975-07-22,0.0050946007726379965
1975-07-23,0.0065284304518323025
1975-07-24,6.7039340692482e-05
1975-07-25,0.00507575496997807
1975-07-28,0.0004629341542363519
1975-07-29,-0.0003900919840379879
1975-07-30,-0.0030128510984461458
1975-07-31,0.0010540650186264505
1975-08-01,0.001350481842199225
1975-08-04,0.006478612636067583
1975-08-05,0.008214856498655033
1975-08-06,-0.001497558242798911
1975-08-07,0.001198016733741195
1975-08-08,0.0010094634993430033
1975-08-11,-0.0030213031408190165
1975-08-12,0.00027988104776729034
1975-08-13,0.0028049434005387444
1975-08-14,8.797641269054805e-05
1975-08-15,-0.0022547999718412278
1975-08-18,-0.0012878519194448582
1975-08-19,0.0048197748056200565
1975-08-20,0.010894205757848658
1975-08-21,0.0024966461334427334
1975-08-22,-0.004789291237707896
1975-08-25,-0.0033080797673376338
1975-08-26,0.0023719939837068263
1975-08-27,-0.00209953582102501
1975-08-28,-0.008197640252569142
1975-08-29,-0.007124128870968012
1975-09-02,0.009797206255232841
1975-09-03,-0.001010486172982386
1975-09-04,-0.0016366447950092943
1975-09-05,0.003242739486651981
1975-09-08,-0.004735883059912737
1975-09-09,0.008862422653717462
1975-09-10,-0.0019580569105727406
1975-09-11,-0.004128528641446869
1975-09-12,-0.0007795571452017657
1975-09-15,0.0017864544421546022
1975-09-16,0.005799237320127949
1975-09-17,-0.0023754649274924013
1975-09-18,-0.007923924548331414
1975-09-19,-0.00389685486603482
1975-09-22,0.004302461089104884
1975-09-23,-0.0025224667997644284
1975-09-24,0.0002827890590543458
1975-09-25,0.002006632407566883
1975-09-26,-0.0010425573279006725
1975-09-29,0.006248735565458981
1975-09-30,0.006568875801559409
1975-10-01,0.006731099779133159
1975-10-02,-5.662709568417994e-05
1975-10-03,-0.004761110722570298
1975-10-06,-0.005871874990358787
1975-10-07,0.0039308509863284725
1975-10-08,0.0017292009799895086
1975-10-09,0.003920069439235507
1975-10-10,0.006727822593434597
1975-10-13,0.004316735147281619
1975-10-14,-4.8936998406668504e-05
1975-10-15,0.007168424615591717
1975-10-16,0.002794327984546563
1975-10-17,0.004212303940013519
1975-10-20,0.004149347606395525
1975-10-21,0.004780476179642637
1975-10-22,1.7141276515060555e-06
1975-10-23,1.3590926420513257e-05
1975-10-24,0.003197241434587456
1975-10-27,0.0024914845238687595
1975-10-28,0.0013881906094187
1975-10-29,0.00626425234754718
1975-10-30,0.002337818390141975
1975-10-31,0.005403390240985356
1975-11-03,-0.0025301682030892244
1975-11-04,0.004743333214655882
1975-11-05,0.005989620497331779
1975-11-06,0.010452667137521137
1975-11-07,0.006044942757494662
1975-11-10,-0.00016873350800375735
1975-11-11,0.0009843995046533837
1975-11-12,0.003802540472107554
1975-11-13,0.0012758175356651152
1975-11-14,0.0020956522964093653
1975-11-17,0.004337687479326049
1975-11-18,0.0038590166685365025
1975-11-19,-0.0021161093430782647
1975-11-20,-0.0025754765531583903
1975-11-21,0.0011829546016109472
1975-11-24,0.0025063190012676348
1975-11-25,0.00584497749589453
1975-11-26,-0.005556683770852737
1975-11-28,-0.0003683691019588043
1975-12-01,-0.004954054354819332
1975-12-02,-0.006252917760507952
1975-12-03,-0.00891259995918649
1975-12-04,-0.0018087915806049037
1975-12-05,-0.00485876228546647
1975-12-08,0.0018672055483113215
1975-12-09,-0.002806008072354488
1975-12-10,0.003833567318937019
1975-12-11,-0.0016903782813603228
1975-12-12,-5.6317148702437255e-05
1975-12-15,0.0031719696911678406
1975-12-16,0.003635408567584278
1975-12-17,0.002377798890456003
1975-12-18,0.003535785266739806
1975-12-19,-5.4792783805750135e-05
1975-12-22,-0.0015162820237244927
